STATEFP,PopulationEstimate2019,PopulationDensity2010,NumAdultsChronicCond,PercAdultsChronicCond,MedianAge2010,DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,TotalM_D__s_TotNon_FedandFed2017,x_Hospitals,x_ICU_beds,SVIPercentile,HPSAUnderservedPop,PopulationEstimate65_2017,MaskNever,MaskRare,MaskSome,MaskFreq,MaskAlways,STATEAbbrv
1,4903185,94.4,1997864,1.78,37.7263249787075,12.7391470233155,222.716762390006,50.6539735602679,18.8049756284842,72.9133137228867,12954,86,1533,0.615536867257749,739993,803771,0.072493280796054,0.0714886093427028,0.129830754499371,0.217791647266012,0.508270539863375,AL
2,731545,1.2,237208,0.21,34.0153995318928,8.02267961351464,144.813428367605,36.3305811700568,17.3816445321892,52.2648197814596,2100,22,119,0.458679653475953,182819,82580,0.0526115344920682,0.0587843919376115,0.0768820551025569,0.241688604255377,0.569876663773247,AK
4,7278717,56.3,2351799,2.1,36.0667584680002,8.59230366362199,135.602342739728,29.3125510238514,14.6062478573646,51.4573606170745,20222,76,1559,0.720497286187857,0,1201746,0.027381785828464,0.0329476525876744,0.067637868596897,0.151409404569514,0.719946890090657,AZ
5,3017804,56,1181105,1.06,37.3648120909476,11.9960289001518,220.035803571873,45.1341969092432,19.5123356709714,68.9925138519987,7753,74,732,0.651844590810681,161897,499144,0.0728125819304368,0.0712164580602319,0.126589965087196,0.22060283504164,0.50888148766454,AR
6,39512223,239.1,12240142,10.93,35.1788972710171,8.12087688552065,145.18927448701,35.7921044127538,11.07234302078,42.3069804374922,137635,329,7338,0.653996784309849,22114,5505358,0.0227036334300907,0.0184163022667694,0.0511097400163995,0.141404191963586,0.766369261709218,CA
8,5758736,48.5,1701776,1.52,36.1605969136683,6.04754810937073,127.894459495144,34.104549101722,13.7596663594533,56.8833817862463,19021,80,1095,0.329241745646261,236454,772042,0.0269650680288174,0.0428931913183726,0.0751657851653557,0.209190104738262,0.646013848177794,CO
9,3565287,738.1,1239597,1.11,39.970949893147,7.70134347888761,146.311714840322,26.724079335734,11.5690429251358,43.686786334571,16693,30,674,0.425776416904468,0,602410,0.0203246655879316,0.0202779347076406,0.0571437870219144,0.122301323287578,0.779976094771613,CT
10,973764,460.8,357530,0.32,39.0331972319269,9.82985015059385,164.979344707399,40.9535512334427,15.7341815333802,51.915783103505,2950,6,186,0.446959303887317,118339,174128,0.0215225578271532,0.00881397340628736,0.0516244839612062,0.110560063834769,0.807478920970584,DE
11,705749,9856.5,213357,0.19,33.8,8.8,202.1,36.5,15.965592149,30.21,6524,6,314,0.5965,0,83734,0.012,0.013,0.069,0.164,0.743,DC
12,21477737,350.6,7696749,6.88,40.9950573034591,8.93507366078502,152.190749495583,37.2772414524873,16.9529541463825,48.4368476555008,70226,178,5604,0.606516672518965,1538260,4214635,0.0385627293974221,0.0375646700581165,0.0750900143716258,0.163153674663211,0.685498327081666,FL
13,10617423,168.4,3541358,3.16,35.4310764938364,11.1050026926249,176.818083307389,43.824317858068,16.4715974427931,60.5052385437486,28843,129,2508,0.569975237024661,1524138,1407810,0.0643361759251751,0.062649235035658,0.113293478464595,0.195172708763699,0.564620515543178,GA
15,1415872,211.8,486156,0.43,38.6293085982241,9.18528642560917,133.58976544026,35.5158022824502,11.7169516040762,27.8052479670762,5554,21,201,0.468729817295569,219821,253560,0.013016527623966,0.0157790499423677,0.0291571815813859,0.141243697876644,0.800115290788998,HI
16,1787065,19,534533,0.48,34.9852801378172,8.0217707364235,157.040768654572,36.3354975008665,13.5518309168611,58.1613156307576,3654,42,314,0.387583340915102,236473,264901,0.111857171395556,0.12550368956921,0.133503800365404,0.217222054597902,0.411875486901707,ID
17,12671821,231.1,4404556,3.93,36.6653919683418,9.05353267540899,167.848293794561,38.0367879645996,14.4186827105148,49.1636554617034,46328,176,3144,0.485673988539433,633721,1945398,0.0318759649461589,0.0327070044628945,0.0795184062338002,0.177858542430484,0.677916759004093,IL
18,6732219,181,2428188,2.17,36.8526702070779,10.6969235541951,180.571534238969,39.8499235640578,19.3641443389727,69.2403175790114,17776,118,1861,0.471401537221689,400643,1024890,0.0694696282161944,0.0807231192271077,0.11695987935033,0.232288251020949,0.500516881580947,IN
19,3155070,54.5,1067133,0.95,38.0567444778361,8.44088161348734,157.326886375626,32.3251710551955,15.8968305230154,58.3817753715371,7403,116,545,0.290089134592992,196130,526057,0.0752294415020903,0.0991926600677639,0.148233656305565,0.227975959328953,0.449408058775241,IA
20,2913314,34.9,983323,0.88,36.2673941483872,9.09714250877124,155.142021188355,38.2045343215966,15.8367043719265,62.6046611151278,8477,132,767,0.383945941669343,390313,449563,0.0662087842230532,0.0712236120102399,0.112954040312853,0.223430993363572,0.526334002788577,KS
21,4467673,109.9,1789444,1.6,37.9297259288667,11.2547406432993,197.112680797296,40.6281889140682,20.9645981824023,77.1084336458537,12480,91,1392,0.556580583886589,452565,711349,0.0691031637722814,0.0713303216238073,0.114189021219772,0.213283324898667,0.53186935324049,KY
22,4648794,104.9,1806330,1.61,35.8406092904301,11.7876378815522,213.561536642448,46.0034069474148,20.563937778692,58.6958083020993,15610,111,1289,0.718300794445811,549674,697383,0.066815107316005,0.0651579119229632,0.106704327617012,0.206483306423128,0.554738401400449,LA
23,1344212,43.1,530809,0.47,42.7114508025977,8.27187089996742,151.155798697553,33.4515451238938,15.0983221898403,61.2753992964755,4945,33,256,0.293404676166539,0,266214,0.0527985079734447,0.0578873012590276,0.0817600482661961,0.196806572177603,0.610890121498692,ME
24,6045680,594.8,2054758,1.84,37.9288192002341,9.70729438309052,166.299548679915,38.1173198219741,13.0082336858049,40.6729750734686,30460,47,1134,0.388419635286638,76093,904671,0.0307455308583981,0.0259876004022707,0.0555497335287346,0.140668937323841,0.746742190291249,MD
25,6892503,839.4,2302809,2.06,39.0150091370094,7.97281329336704,136.408456033041,27.8030480361986,12.7725186066352,43.8973312789973,39963,58,1326,0.401296987286134,23402,1108609,0.0199206372489065,0.0139721488695761,0.0436930196475794,0.130601311453909,0.791745427169201,MA
26,9986857,174.8,3749235,3.35,38.6721777546128,9.33843458052615,199.364875501642,38.1048085442903,17.2112649611361,55.6140581677615,32885,130,2423,0.455199542883268,512149,1667196,0.0407376794320776,0.0475533221312771,0.0826474589553049,0.194609635744259,0.63426759009366,MI
27,5639632,66.6,1625778,1.45,37.3632018511618,7.33769813794926,112.29796228208,32.8702969197739,13.8062588910828,47.2847232230517,21311,127,1171,0.277891109836275,156640,860209,0.0615090926145536,0.0855945666312979,0.125566840176806,0.252709887099016,0.474490721203086,MN
28,2976149,63.2,1150036,1.03,35.9926699547636,13.4022922923928,232.381487010008,50.0310188077803,19.2416863288194,70.1818999641725,6815,95,824,0.737928000522345,862091,461519,0.0619568210462581,0.0806354530636739,0.120955721302932,0.209303791913644,0.527220817573314,MS
29,6137428,87.1,2137650,1.91,37.8725876412645,10.3392684868828,193.019280768053,40.5223523337814,19.1199865057008,63.0266552761696,18862,106,1888,0.40934087923973,1274410,1007033,0.08221015138589,0.0834555082356974,0.117129886981974,0.208842664223515,0.508254410316504,MO
30,1068778,6.8,356113,0.32,39.6804931728647,6.83767693835575,152.823286626722,34.9079547775827,16.6419606350651,65.0144111154518,3158,62,165,0.25962297513426,269531,190523,0.131390499243061,0.160026493808817,0.136502104272356,0.210832448834089,0.361375480221337,MT
31,1934408,23.8,616905,0.55,36.2901590136777,8.51743993058507,143.446298751651,33.8630169058938,14.770698448863,64.3105032271307,5836,87,440,0.336659767486943,13037,295373,0.101361365337612,0.0855613381458306,0.124853075462881,0.262666040463025,0.425561892837499,NE
32,3080156,24.6,1048591,0.94,36.4100776036847,9.34816322347277,200.690579068229,35.8945414765133,16.7972440518661,64.5302338326755,7125,36,900,0.68936012756427,147481,459059,0.0269863941956187,0.0334199855461866,0.0596335844677997,0.164835426842017,0.715143306377989,NV
33,1359711,147,485340,0.43,41.0477351307597,7.78802572582417,147.799382878054,27.4716967278014,14.0331858528046,55.596810995991,5130,26,242,0.13746522981176,6773,236157,0.0447526525857333,0.0612226465771035,0.072953670301998,0.18413103446247,0.636698389584257,NH
34,8882190,1195.5,3106880,2.78,38.9707004979503,8.36916942432637,164.652278762353,31.1153978663122,13.4883659433384,39.6781216408562,34088,64,1822,0.444400717964376,0,1418603,0.0218945574233382,0.0196569574620673,0.0540506431409371,0.158989423892081,0.745327670540711,NJ
35,2096829,17,701585,0.63,36.5920203414291,8.02384901795719,145.97634588256,34.6193764233369,16.6504817827304,56.1794033152177,6530,42,340,0.771029721963683,647467,352601,0.037132133807764,0.0296019093593231,0.0711651574830375,0.155526609942919,0.706725334302416,NM
36,19453561,411.2,6419321,5.73,37.9629311251353,8.87725844094698,179.535799714352,25.4639889226443,14.027580833338,37.4887311818229,95485,165,3952,0.544662978919118,646095,3162193,0.0252101467695298,0.0201841040311334,0.0525207522160082,0.135777473954511,0.76616943514866,NY
37,10488084,196.1,3713582,3.32,37.3793915898309,9.99763518888403,157.434915212614,43.2676048911651,16.2514182633765,58.9919163124228,32508,106,2227,0.581607045760534,881660,1630445,0.0382753538205834,0.0433486557697288,0.0872210518146117,0.186768716383278,0.644346630232939,NC
38,762062,9.7,243096,0.22,36.9862563924445,8.4506372380693,141.190853295127,33.3573740555233,17.2424499254287,49.1750499094171,2183,44,238,0.201020227555892,113275,113208,0.15283329046718,0.157256665468164,0.140809398710341,0.253341090357478,0.295823959205419,ND
39,11689100,282.3,4268748,3.81,38.6763291096359,10.2543558452149,186.40609136005,40.9001728140659,19.1604985965104,63.0023851993962,40466,156,3314,0.443694533092341,292953,1943136,0.0674879655405463,0.0758768533077825,0.11601538535901,0.213228167181391,0.527538715983267,OH
40,3956971,54.7,1461941,1.31,36.2997098713975,11.2100185920698,226.076569680699,42.6985643199135,18.2800376751272,77.0612362217445,8484,118,1064,0.623702740903745,469624,602823,0.086378719227409,0.0932844132544818,0.142983344330802,0.233153912171709,0.444324751937783,OK
41,4217737,39.9,1418689,1.27,38.5864122644524,8.28442031224758,133.249114530153,37.1567926507971,14.8143158606846,53.8964213440529,15674,59,663,0.524835488829705,329032,708817,0.0264843590294985,0.0302143673254164,0.068070150414784,0.174805920094117,0.700175104327273,OR
42,12801989,283.9,4738414,4.23,39.9727962155249,9.10620854434976,176.963310189848,37.9299219649162,17.3481734270335,49.5853909492108,48993,162,3169,0.411046723963189,12902,2279687,0.0243785789848749,0.025228039877241,0.0669143087062487,0.154393874108156,0.72919739698261,PA
44,1059361,1018.1,393069,0.35,39.2713627443099,8.40522654081329,160.324082510888,27.6809059740948,13.9850954472394,47.2882125478216,5177,10,279,0.510548707055135,0,177955,0.0178029576320065,0.0121191293619455,0.0464205497464981,0.146448398610106,0.776569290355224,RI
45,5148714,153.9,1912134,1.71,37.8285714931983,11.3244850295832,176.676225298857,45.013582666208,16.6452882589764,63.7664648778443,14415,57,1225,0.615574528350688,686734,864577,0.0699506255348423,0.0626124628402354,0.109739442703557,0.196249208054671,0.5614682314846,SC
46,884659,10.7,281110,0.25,37.3065974518565,8.65023181699822,151.030374402163,35.3773146003107,15.8585834367516,54.7745856443983,2505,56,152,0.313927072238877,111126,140617,0.127481504172794,0.129498537854699,0.153498746974823,0.221630050674893,0.368049620249158,SD
47,6829174,153.9,2610800,2.33,37.9609429380459,11.5376107716237,201.439287947876,45.987392588785,20.5847497359622,65.5618866441852,21438,100,2209,0.525400745730065,682235,1076602,0.0792861151290039,0.0733655158003003,0.13139134776768,0.205349396134877,0.510791205642146,TN
48,28995881,96.3,8977387,8.02,33.8131509733956,9.7831753847183,166.10975556101,41.8364063425191,14.2926057461514,51.1377625960979,75666,384,6199,0.648490160437421,1941020,3472712,0.0282579245652167,0.0338691854887941,0.0660928254257907,0.154541046881797,0.717206119034631,TX
49,3205958,33.6,796721,0.71,29.361935019558,7.49335646870319,154.101939543293,38.6414757181429,8.94783653809712,45.1935621151464,8113,45,565,0.301649261191893,148033,335572,0.0508020635329596,0.0553050298849829,0.114381860897741,0.247135735714566,0.53225119449475,UT
50,623989,67.9,226397,0.2,41.3601444358046,6.9730111336598,151.118965701686,31.3934879346766,13.9621304309504,55.0621478079959,3117,14,94,0.200296348868512,0,116869,0.0429039133702677,0.0834037667330674,0.0671194011432894,0.135219999070496,0.671115088567266,VT
51,8535519,202.6,2921171,2.61,37.3779230506881,9.58589514639248,148.469543637737,36.8841288566083,15.0318536400259,48.1964699504619,28981,81,1654,0.34162472812742,588159,1271428,0.033293028461421,0.0350049878630696,0.0760916833528225,0.178562556418655,0.676919584268983,VA
53,7614893,101.2,2464452,2.2,37.3209965482468,8.11162577692977,136.848161079868,34.6604381527607,12.4941352034481,50.2150393034866,25950,88,1265,0.418563843804686,898232,1115042,0.0262611067548815,0.0311833172179832,0.0660702055826655,0.177247392576626,0.699298833877246,WA
54,1792147,77.1,827193,0.74,41.167896349162,12.7815951317731,190.460838217509,43.0455504166501,22.6203255791161,81.0078105826013,5347,49,653,0.513203439965623,317910,351599,0.0880299852634856,0.0713934214101857,0.135709917769022,0.205287633771114,0.499555377990756,WV
55,5822434,105,1949872,1.74,38.3260945257714,8.09528212278587,154.747969766587,34.0368804837236,15.4264768370041,50.6270680225982,18926,122,1159,0.304094876158669,168356,954557,0.0721526754961929,0.0970470043971301,0.137853383997139,0.2370990623509,0.455831550001254,WI
56,578759,5.8,194544,0.17,37.1489759181081,7.87483301225298,160.142491825865,31.817915072083,16.6634127883557,72.8602595471642,1366,27,102,0.277096232714886,17539,91607,0.14034360934344,0.149929421399926,0.123026342570915,0.23395956347979,0.352992478734672,WY
72,3193694,1088.2,0,0,36.9187760335734,14.4094388907198,109.817441851448,27.2056615293851,NaN,NaN,12648,0,0,NaN,6440835,658750,0,0,0,0,0,PR
