STATEAbbrv,STATEFP,PopulationEstimate2019,PopulationDensity2010,NumAdultsChronicCond,MedianAge2010,DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,TotalM_D__s_TotNon_FedandFed2017,x_Hospitals,x_ICU_beds,SVIPercentile,PopulationEstimate65_2017,MaskNever,MaskRare,MaskSome,MaskFreq,MaskAlways,PovertyRate,GiniCoeff,PercPop_StayHome,Avg_DailyTrip,FracPopSpending6+OutHome
GA,13,0.568067762377057,-0.156825207627809,-0.376096263571636,-0.929368958509645,1.13839648499264,0.363896807882724,1.17305585904392,0.210421522892493,0.412192794377894,-0.588876226427623,-0.587819167511222,0.128063007748705,0.677127606495205,-1.33872610548832,0.247368852478054,0.06730609206092,0.579491638548807,0.109544864296312,-0.256051291078829,0.716918308260383,0.801077933107021,-0.758388236596268,-0.154042265239866,0.679272596847196
HI,15,-0.682030790631207,-0.125315529647798,-0.0961255453280876,0.492124502952856,-0.0363443734751155,-1.18417135206119,-0.265160246295348,-1.51163099133064,-2.41809126476391,0.449439912502292,-0.397079870927423,-1.39680039410296,0.0208852954981895,1.07498881285349,-1.24152644341351,-1.16327184244838,-1.9196038534434,-1.28515799694349,1.48026313010636,-0.66214408548227,-1.20056133458335,1.07789565099498,-2.08974591896039,-1.48049246761448
ID,16,-0.631601484508055,-0.265294006941486,-1.35776121967594,-1.12750861333825,-0.748339913149052,-0.344357239783999,-0.123269814260117,-0.847068657760509,0.209319107275723,-1.16728921117497,0.219540504977098,-0.850861315101335,-0.505081719421307,-0.52680471011769,1.62605691745974,1.71755143845022,1.17979764469656,0.679781277269554,-1.38224780952681,-0.449980640291093,-0.774784766639427,-0.13416428453539,-1.28597857750566,-0.0958876749421277
IL,17,0.847172879232147,-0.111303161329499,0.0243409459385544,-0.380762316113603,-0.116969055505401,0.0426757603996885,0.171226034310171,-0.533109561466782,-0.569455861675374,0.219853897586377,-0.464127450294954,0.320488785846423,0.130712309152293,-0.252195560092152,-0.694372898101445,-0.718827954124175,-0.423727351120514,-0.338231145827269,0.579287417314814,-0.308538343496975,0.776608015409092,0.199693111265697,1.37645086417485,0.797414500879757
IN,18,0.0402341505716212,-0.147677236601354,0.397705527724449,-0.297524207324584,0.888678729489632,0.498313277543877,0.485082438209485,1.25805321283107,1.16824056420462,-0.654420466688229,-0.205359451917936,0.778696274809675,0.0382025792167521,-0.318912023218345,0.396301536562764,0.541836393842437,0.68839452903488,1.06942067383167,-0.728690499243067,-0.0610143241072678,-0.764996799560259,-0.64520916645161,1.12353814064565,0.662783280757258
IA,19,-0.445747917972579,-0.239519961589173,-0.242493282892892,0.237641361381284,-0.49187145477602,-0.334110953187321,-0.81746314269991,0.00225064058709798,0.228400571184644,-0.907568840286444,1.16285062985955,-0.8988987469848,-1.13700979514894,0.433777874300731,0.563406323724412,1.02675467128879,1.61731769182736,0.957896923212118,-1.10551833329889,-0.945028679070507,-1.15651548272708,-0.512904588661485,1.06424940101007,2.33465094525583
KS,20,-0.478592253213569,-0.253750138741436,-0.262471567257239,-0.557657325692694,-0.0902826883782211,-0.41235411408433,0.200263172177864,-0.0195260370384228,0.593904230142518,-0.42257656414416,1.77041274749878,0.565824758543545,-0.528658245583608,-0.211091751235733,0.30169731687816,0.292426583607595,0.569409327034596,0.840355790306293,-0.538339610058787,-0.308538343496975,-0.358796165774681,0.0268380613395265,0.578671640864608,1.52429397834347
KY,21,-0.267421121655925,-0.199297930250634,1.53390460139751,0.18118641034859,1.23002632203828,1.09067549701816,0.619801299891246,1.83771059604427,1.84925004117209,-0.522735943873717,-0.00332064491384734,1.34719759914991,0.590307499927892,0.0437337947522078,0.385669601140076,0.295228247300511,0.606091892485031,0.577918523052181,-0.497527202199893,1.03516347604715,0.575954690286099,-0.383473217690942,1.1127317589253,0.0919406469932857
LA,22,-0.242814498270432,-0.202928077483354,1.19253883278071,-0.747347087172118,1.55612459494268,1.67973265347877,1.55025934319753,1.69259815676632,0.255581080467413,-0.0367991999675664,0.246205340635794,0.792356069053883,1.63852918735118,-0.434320260318888,0.319288076572924,0.133171469297787,0.383774477356058,0.402057607594647,-0.328912598850552,2.7678316117751,1.31984018830306,-0.95290951602371,0.695414297550759,1.68885498124251
ME,23,-0.691766330031964,-0.247796697279775,1.37290691576323,2.30648264297536,-0.595294962771438,-0.555106467655649,-0.622486156559039,-0.286955607242176,0.478852559808361,0.239438431230608,0.294034998538811,-0.612408218335117,-1.11551945345987,2.05941514604605,-0.0873641417557653,-0.0577186036908101,-0.357143989297527,0.151799560623291,0.0850967619905203,0.0804279726868507,-0.63775322753104,-0.0320111796453448,0.0735696344614231,0.13411380042266
